license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1492279,HOME BAKERY & FESTIVALS,,Special Event,1,2910 N CENTRAL PARK AVE ,CHICAGO,IL,60618,41.93417846,-87.71739692,30
1492287,AY  AY PICANTE,,Restaurant,1,4569 N ELSTON AVE ,CHICAGO,IL,60630,41.96400775,-87.73395032,39
1492320,CHILDREN'S CENTER INC,,Daycare Above and Under 2 Years,1,12801-12803 S HALSTED ST ,CHICAGO,IL,60628,41.66132602,-87.64121031,34
1492329,KENTUCKY FRIED CHICKEN,,Restaurant,1,4715 W FULLERTON AVE ,CHICAGO,IL,60639,41.92415233,-87.74446961,36
1492342,SUBWAY,,Restaurant,1,5901 S ARCHER AVE ,CHICAGO,IL,60638,41.79551639,-87.76292466,23
1492358,EL CUBANITO,,Restaurant,1,2555 N PULASKI RD ,CHICAGO,IL,60639,41.92793173,-87.72672317,31
1492376,THE PERFECT CUP INC,,,3,1612 W IRVING PARK RD ,CHICAGO,IL,60613,41.95439275,-87.66958709,47
1492380,CAFE FRIDA,,,2,739 S WESTERN AVE ,CHICAGO,IL,60612,41.87191374,-87.68603837,28
1492404,TORRES FOODS,,,3,1958 W MONTROSE AVE ,CHICAGO,IL,60613,41.96157456,-87.67835706,47
1492411,D AND M CAFE,,Restaurant,1,8239 S COTTAGE GROVE AVE ,CHICAGO,IL,60619,41.74463072,-87.6049052,8
1492416,SUBWAY,,Restaurant,1,4861 N MILWAUKEE AVE ,CHICAGO,IL,60630,41.96943371,-87.76192063,45
1492452,A & L COUNTRY COOKING,,,3,1418 W MORSE AVE ,CHICAGO,IL,60626,42.00800274,-87.66671916,49
1492539,GYROS STOP,,,3,4634 N KEDZIE AVE ,CHICAGO,IL,60625,41.96571902,-87.70853756,33
1492562,OLIVE BRANCH,,,3,617 N WELLS ST ,CHICAGO,IL,60654,41.89300677,-87.63395925,42
1492585,Halsted's Bar & Grill,,Restaurant,1,3441 N HALSTED ST ,CHICAGO,IL,60657,41.94487707,-87.64926679,44
1492627,VICTOR HOTEL,,Restaurant,1,311 N SANGAMON ST ,CHICAGO,IL,60607,41.88711459,-87.65087023,27
1492643,BUENA VISTA RESTAURANT,,Restaurant,1,3147 N BROADWAY ,CHICAGO,IL,60657,41.93905793,-87.64421875,44
1492714,DUNKIN BASKIN,DUNKIN DONUTS BASKIN ROBBINS,Restaurant,2,2247B N MILWAUKEE AVE ,CHICAGO,IL,60647,41.92169657,-87.69515268,1
1492724,SUBWAY STORE  # 25458,SUBWAY,Restaurant,1,1818 W MONTROSE AVE ,CHICAGO,IL,60613,41.96161297,-87.67536187,47
1492730,CITY DOG,,,3,4219 B N MILWAUKEE AVE ,CHICAGO,IL,60641,41.95761347,-87.75168946,45
1492738,LOS GIRASOLES,,Restaurant,1,3661-3663 S ARCHER AVE ,CHICAGO,IL,60609,41.8272617,-87.68251715,12
1492765,BRIDGEPORT COFFEE HOUSE INC,BRIDGEPORT COFFEE HOUSE,Restaurant,2,3101 S MORGAN ST ,CHICAGO,IL,60608,41.83794297,-87.65099272,11
1492817,ORIGINAL BROASTED CHICKEN,,,3,2145 S PULASKI RD ,CHICAGO,IL,60623,41.85193458,-87.72462254,24
1492853,CESAR'S ON BROADWAY,,Restaurant,1,2924-2926 N BROADWAY ,CHICAGO,IL,60657,41.93563186,-87.64439808,44
1492868,LA BRUQUENA RESTAURANT & LOUNGE,,Restaurant,1,2726 W DIVISION ST ,CHICAGO,IL,60622,41.90304639,-87.69553513,26
1492942,PIKOVA DAMA,,Restaurant,1,4835 N WESTERN AVE ,CHICAGO,IL,60625,41.96969326,-87.68879319,47
1492946,NAN ON DEVON & GRILL,,,3,2305 W DEVON AVE ,CHICAGO,IL,60659,41.99765846,-87.68767204,50
1493064,SAVOR  THE FLAVOR CHICAGO,,Restaurant,2,2545 N SHEFFIELD AVE ,CHICAGO,IL,60614,41.92866853,-87.65357528,43
1493102,F.K. FOOD MART,,,3,7411 N WESTERN AVE ,CHICAGO,IL,60645,42.01610531,-87.6900634,50
